"ts_created","items","store_id","payment_R$","type","store_type"
2022-12-05 13:03:00.171 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4035"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4334"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,91,t,Comanda
2022-12-06 14:01:02.593 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4890"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,53,t,Comanda
2022-12-06 14:02:24.001 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3720"", ""amount"": 1}, {""name"": ""RERI MINI"", ""extra"": [], ""value"": ""400"", ""amount"": 1.0}]",6,41,t,Comanda
2022-12-06 14:07:03.735 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3525"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,40,t,Comanda
2022-12-06 14:38:48.477 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""5085"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,58,t,Comanda
2022-12-06 14:41:19.299 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4380"", ""amount"": 1}]",6,43,t,Comanda
2022-12-07 14:41:42.639 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4650"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2790"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1215"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""1590"", ""amount"": 1}, {""name"": ""SUCO LARANJA JARRA "", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,110,t,Comanda
2022-12-10 12:22:18.530 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3569"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4905"", ""amount"": 1}, {""name"": ""REFRI LATA"", ""extra"": [], ""value"": ""500"", ""amount"": 1.0}]",6,89,t,Comanda
2022-12-10 12:39:49.852 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""3525"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2415"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4695"", ""amount"": 1}, {""name"": ""SUCO FRUTAS JARRA "", ""extra"": [], ""value"": ""1000"", ""amount"": 1.0}]",6,116,t,Comanda
2022-12-10 13:16:29.383 -0300,"[{""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""4395"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""6015"", ""amount"": 1}, {""name"": ""ALMOCO KG"", ""extra"": [], ""value"": ""2985"", ""amount"": 1}, {""name"": ""REFRI LITRO"", ""extra"": [], ""value"": ""800"", ""amount"": 1.0}]",6,141,t,Comanda
